"division_level",77,100,11,1,88256,"Liga Mayor",709577,"La Vieja Escuela !",673157026,413,2,196,0,30,5,127,7,1534210,6,4172980,4,1335,0,1230,0,3459.2903225806454,2,0,1,0,1,1137,1
"league_id",77,100,11,2,88260,"II.1",709593,"Viva Zapata!",673157081,334,20,73,29,30,18,171,13,1461190,16,3628300,19,885,18,780,14,2647.5333333333333,88,0,27,0,27,979,15
"division_level",77,100,11,2,88260,"II.1",709593,"Viva Zapata!",673157081,334,13,73,18,30,12,171,8,1461190,9,3628300,11,885,10,780,8,2647.5333333333333,27,0,8,0,8,979,8
"league_id",77,100,11,2,88262,"II.3",709596,"Isla Papaya",673157195,212,49,53,63,33,14,60,79,161880,56,328900,60,555,57,440,51,2560.521739130435,92,0,28,0,28,746,51
"division_level",77,100,11,2,88262,"II.3",709596,"Isla Papaya",673157195,212,26,53,26,33,11,60,26,161880,29,328900,29,555,26,440,24,2560.521739130435,28,0,9,0,9,746,28
"league_id",77,100,11,3,88297,"III.6",709598,"EF Cristo Rey",673157588,201,55,60,49,27,24,60,80,429750,40,739760,47,570,55,435,55,2898.102564102564,58,0,29,0,29,729,55
"division_level",77,100,11,3,88297,"III.6",709598,"EF Cristo Rey",673157588,201,20,60,15,27,1,60,37,429750,7,739760,13,570,19,435,19,2898.102564102564,24,0,15,0,15,729,18
"league_id",77,100,11,2,88262,"II.3",709614,"Deportivo Bononia",673157194,390,10,120,10,41,8,147,26,1707580,12,4011260,14,1025,6,800,12,3090.7916666666665,32,1,7,1,2,1023,4
"division_level",77,100,11,2,88262,"II.3",709614,"Deportivo Bononia",673157194,390,4,120,4,41,6,147,13,1707580,7,4011260,9,1025,2,800,7,3090.7916666666665,11,1,1,1,0,1023,1
"league_id",77,100,11,3,88302,"III.11",709617,"Alexiana Radauti",673157862,216,47,69,34,17,59,96,44,449650,38,1866480,29,635,41,445,50,3725.0833333333335,7,0,30,0,30,776,43
"division_level",77,100,11,3,88302,"III.11",709617,"Alexiana Radauti",673157862,216,14,69,4,17,24,96,15,449650,6,1866480,2,635,9,445,18,3725.0833333333335,2,0,16,0,16,776,9
"league_id",77,100,11,3,88300,"III.9",709620,"San Judas F.C.",673157756,258,31,54,62,20,40,144,27,547420,35,1724900,30,660,37,520,41,3589.5789473684213,10,0,31,0,31,802,37
"division_level",77,100,11,3,88300,"III.9",709620,"San Judas F.C.",673157756,258,4,54,23,20,9,144,6,547420,4,1724900,3,660,6,520,9,3589.5789473684213,4,0,17,0,17,802,5
"league_id",77,100,11,2,88262,"II.3",709623,"Desperados Amigos",673157195,71,99,3,99,2,99,62,75,224710,50,897320,44,145,97,120,97,2513.871794871795,94,0,32,0,32,691,61
"division_level",77,100,11,2,88262,"II.3",709623,"Desperados Amigos",673157195,71,30,3,30,2,30,62,25,224710,28,897320,26,145,30,120,30,2513.871794871795,30,0,10,0,10,691,29
"league_id",77,100,11,3,88292,"III.1",709625,"Wn Team",673157307,139,87,56,56,11,87,50,89,35670,81,114100,78,400,86,315,85,3125.0714285714284,27,0,33,0,33,674,64
"division_level",77,100,11,3,88292,"III.1",709625,"Wn Team",673157307,139,40,56,20,11,43,50,43,35670,34,114100,32,400,39,315,39,3125.0714285714284,10,0,18,0,18,674,24
"league_id",77,100,11,3,88297,"III.6",709630,"La Kotz F.C",673157586,209,52,66,39,15,65,98,41,106430,61,376240,58,540,60,435,56,3066.095238095238,35,0,34,0,34,727,56
"division_level",77,100,11,3,88297,"III.6",709630,"La Kotz F.C",673157586,209,17,66,8,15,28,98,12,106430,23,376240,20,540,22,435,20,3066.095238095238,12,0,19,0,19,727,19
"league_id",77,100,11,3,88292,"III.1",709636,"La cima del sabor",673157305,128,93,38,86,15,66,45,92,20880,93,77100,95,380,90,295,88,2889,59,2,4,1,3,546,95
"division_level",77,100,11,3,88292,"III.1",709636,"La cima del sabor",673157305,128,45,38,39,15,29,45,45,20880,44,77100,44,380,42,295,41,2889,25,2,4,1,2,546,46
"league_id",77,100,11,2,88260,"II.1",709648,"ROTIV UTD",673157081,417,3,124,9,43,6,164,18,2386050,3,5657220,3,1015,8,830,8,3099.6,29,0,35,0,35,999,10
"division_level",77,100,11,2,88260,"II.1",709648,"ROTIV UTD",673157081,417,1,124,3,43,4,164,10,2386050,2,5657220,2,1015,4,830,3,3099.6,9,0,11,0,11,999,5
"league_id",77,100,11,3,88292,"III.1",709654,"Los Pipiris",673157306,235,40,108,14,19,48,70,65,292210,47,397580,57,590,50,430,57,3633.9,9,0,36,0,36,771,46
"division_level",77,100,11,3,88292,"III.1",709654,"Los Pipiris",673157306,235,9,108,0,19,17,70,28,292210,12,397580,19,590,15,430,21,3633.9,3,0,20,0,20,771,11
"league_id",77,100,11,1,88256,"Liga Mayor",1903764,"Rocco's Club",673157027,485,0,175,1,39,10,193,2,1609240,13,4292540,11,1190,1,1030,1,3742.24,6,0,37,0,37,1155,0
"division_level",77,100,11,1,88256,"Liga Mayor",1903764,"Rocco's Club",673157027,485,0,175,1,39,2,193,0,1609240,5,4292540,3,1190,1,1030,1,3742.24,0,0,2,0,2,1155,0
"league_id",77,100,11,2,88263,"II.4",1903770,"Greñudos Locos",673157250,386,11,112,13,44,4,142,28,2560720,2,4816060,8,1025,7,780,15,3201.6923076923076,24,2,5,1,4,1028,3
"division_level",77,100,11,2,88263,"II.4",1903770,"Greñudos Locos",673157250,386,5,112,6,44,3,142,14,2560720,1,4816060,5,1025,3,780,9,3201.6923076923076,7,2,0,1,1,1028,0
"league_id",77,100,11,1,88256,"Liga Mayor",1903778,"AHAB FC",673157027,357,15,119,11,19,49,181,8,1737470,11,4928560,6,910,16,735,21,3075.2,33,0,38,0,38,980,14
"division_level",77,100,11,1,88256,"Liga Mayor",1903778,"AHAB FC",673157027,357,6,119,6,19,6,181,3,1737470,4,4928560,2,910,6,735,6,3075.2,6,0,3,0,3,980,6
"league_id",77,100,11,3,88306,"III.15",1903779,"Panteras, F.C.",673158090,234,41,71,32,20,41,103,39,290760,48,1304720,37,605,45,490,45,3058.269230769231,38,0,39,0,39,801,38
"division_level",77,100,11,3,88306,"III.15",1903779,"Panteras, F.C.",673158090,234,10,71,3,20,10,103,11,290760,13,1304720,7,605,12,490,13,3058.269230769231,14,0,21,0,21,801,6
"league_id",77,100,11,4,238793,"IV.3",1903780,"Palomaticos F.C.",673158314,154,77,55,57,13,74,60,81,54280,71,168860,71,475,72,395,66,2767.4864864864867,75,0,40,0,40,642,76
"division_level",77,100,11,4,238793,"IV.3",1903780,"Palomaticos F.C.",673158314,154,7,55,4,13,4,60,8,54280,3,168860,4,475,6,395,4,2767.4864864864867,8,0,2,0,2,642,6
"league_id",77,100,11,4,238791,"IV.1",1903781,"Forgiven FC",673158201,147,80,50,68,9,93,70,66,20590,94,88400,91,405,85,305,87,2673.9166666666665,85,0,41,0,41,577,88
"division_level",77,100,11,4,238791,"IV.1",1903781,"Forgiven FC",673158201,147,8,50,8,9,8,70,4,20590,10,88400,10,405,9,305,9,2673.9166666666665,10,0,3,0,3,577,9
"league_id",77,100,11,4,238791,"IV.1",1903784,"Em Dezembro de 81",673158202,169,69,72,30,13,75,58,85,39470,75,108800,81,495,68,405,64,2806.3636363636365,72,1,8,1,5,669,67
"division_level",77,100,11,4,238791,"IV.1",1903784,"Em Dezembro de 81",673158202,169,3,72,1,13,5,58,9,39470,6,108800,8,495,5,405,2,2806.3636363636365,7,1,1,1,0,669,2
"league_id",77,100,11,4,238793,"IV.3",1903795,"Perezosos Gigantes",673158314,190,58,77,25,17,60,62,76,66820,68,133120,76,660,38,555,34,2873.296296296296,62,0,42,0,42,707,59
"division_level",77,100,11,4,238793,"IV.3",1903795,"Perezosos Gigantes",673158314,190,2,77,0,17,2,62,7,66820,2,133120,6,660,0,555,0,2873.296296296296,5,0,4,0,4,707,0
"league_id",77,100,11,3,88294,"III.3",1903802,"Equipo Schreif",673157419,139,88,29,96,12,83,74,61,35800,79,134000,75,395,88,270,91,2687.7741935483873,84,0,43,0,43,573,89
"division_level",77,100,11,3,88294,"III.3",1903802,"Equipo Schreif",673157419,139,41,29,48,12,40,74,27,35800,32,134000,31,395,41,270,43,2687.7741935483873,40,0,22,0,22,573,41
"league_id",77,100,11,2,88261,"II.2",1903803,"MnM masters",673157136,275,28,55,58,16,63,172,11,1250440,19,5371600,5,705,32,575,29,2756.269230769231,76,0,44,0,44,837,31
"division_level",77,100,11,2,88261,"II.2",1903803,"MnM masters",673157136,275,19,55,25,16,26,172,6,1250440,11,5371600,3,705,21,575,19,2756.269230769231,25,0,12,0,12,837,21
"league_id",77,100,11,3,88292,"III.1",1903812,"Merliot FC",673157306,164,72,26,98,20,42,78,57,21430,92,76300,96,0,98,0,98,2872.157894736842,63,0,45,0,45,0,99
"division_level",77,100,11,3,88292,"III.1",1903812,"Merliot FC",673157306,164,32,26,49,20,11,78,23,21430,43,76300,45,0,48,0,48,2872.157894736842,27,0,23,0,23,0,48
"league_id",77,100,11,3,88301,"III.10",1903821,"The Suburb of La Libertad",673157810,308,23,83,23,20,43,165,16,936100,25,1875520,28,590,51,530,38,2496.1111111111113,98,0,46,0,46,838,30
"division_level",77,100,11,3,88301,"III.10",1903821,"The Suburb of La Libertad",673157810,308,0,83,2,20,12,165,3,936100,1,1875520,1,590,16,530,6,2496.1111111111113,47,0,24,0,24,838,2
"league_id",77,100,11,1,88256,"Liga Mayor",1903823,"Tomis III",673157025,391,9,142,4,32,15,153,21,2385750,4,7690460,0,975,13,760,18,3218.56,20,0,47,0,47,988,12
"division_level",77,100,11,1,88256,"Liga Mayor",1903823,"Tomis III",673157025,391,5,142,3,32,3,153,5,2385750,1,7690460,0,975,4,760,5,3218.56,3,0,4,0,4,988,5
"league_id",77,100,11,3,88302,"III.11",1903826,"Deportivo Sacsayhuamán",673157866,239,38,47,72,8,94,168,14,395160,42,796420,45,620,43,490,46,2595.923076923077,90,0,48,0,48,775,45
"division_level",77,100,11,3,88302,"III.11",1903826,"Deportivo Sacsayhuamán",673157866,239,8,47,27,8,48,168,1,395160,8,796420,11,620,11,490,14,2595.923076923077,43,0,25,0,25,775,10
"league_id",77,100,11,3,88301,"III.10",1903829,"Los Kangry",673157807,164,73,53,64,15,67,66,69,35570,82,92200,89,470,73,355,75,3204.409090909091,23,0,49,0,49,654,74
"division_level",77,100,11,3,88301,"III.10",1903829,"Los Kangry",673157807,164,33,53,24,15,30,66,30,35570,35,92200,40,470,31,355,31,3204.409090909091,8,0,26,0,26,654,31
"league_id",77,100,11,2,88263,"II.4",1903832,"Escuela de Magicos",673157249,226,43,58,52,21,34,105,37,405600,41,642540,51,595,47,440,52,3586.7714285714287,11,0,50,0,50,801,39
"division_level",77,100,11,2,88263,"II.4",1903832,"Escuela de Magicos",673157249,226,24,58,24,21,23,105,18,405600,26,642540,28,595,24,440,25,3586.7714285714287,3,0,13,0,13,801,25
"league_id",77,100,11,2,88260,"II.1",1903841,"BSC Young Boys International",673157084,289,24,119,12,22,33,104,38,1080160,21,2880260,24,870,22,815,9,3064.1612903225805,36,0,51,0,51,919,24
"division_level",77,100,11,2,88260,"II.1",1903841,"BSC Young Boys International",673157084,289,16,119,5,22,22,104,19,1080160,13,2880260,16,870,14,815,4,3064.1612903225805,13,0,14,0,14,919,17
"league_id",77,100,11,1,88256,"Liga Mayor",1903842,"merino's italy",673157023,404,8,147,3,32,16,161,19,1915260,7,3781000,18,1045,4,965,3,3125.2105263157896,26,0,52,0,52,1013,6
"division_level",77,100,11,1,88256,"Liga Mayor",1903842,"merino's italy",673157023,404,4,147,2,32,4,161,4,1915260,2,3781000,6,1045,3,965,3,3125.2105263157896,5,0,5,0,5,1013,3
"league_id",77,100,11,2,88261,"II.2",1903843,"catogdichi at",673157139,239,39,72,31,24,27,95,46,564020,34,1323360,36,680,34,535,37,3320.4761904761904,19,0,53,0,53,822,34
"division_level",77,100,11,2,88261,"II.2",1903843,"catogdichi at",673157139,239,22,72,19,24,18,95,21,564020,23,1323360,22,680,22,535,23,3320.4761904761904,6,0,15,0,15,822,23
"league_id",77,100,11,2,88260,"II.1",1903845,"FC Pipil",673157083,371,13,96,17,40,9,155,20,1203610,20,2931820,22,905,17,755,20,2974,45,0,54,0,54,975,17
"division_level",77,100,11,2,88260,"II.1",1903845,"FC Pipil",673157083,371,7,96,9,40,7,155,11,1203610,12,2931820,14,905,9,755,13,2974,16,0,16,0,16,975,10
"league_id",77,100,11,2,88260,"II.1",1903856,"Club Deportivo Zúrich",673157084,352,17,86,21,43,7,137,31,1539970,14,2902300,23,875,20,760,19,3782.810810810811,5,0,55,0,55,1006,8
"division_level",77,100,11,2,88260,"II.1",1903856,"Club Deportivo Zúrich",673157084,352,10,86,12,43,5,137,16,1539970,8,2902300,15,875,12,760,12,3782.810810810811,1,0,17,0,17,1006,3
"league_id",77,100,11,3,88301,"III.10",1903861,"Black Eagle FC.",673157808,159,75,49,69,11,88,77,59,25070,89,95880,87,435,80,330,79,2672.36,86,0,56,0,56,582,87
"division_level",77,100,11,3,88301,"III.10",1903861,"Black Eagle FC.",673157808,159,34,49,26,11,44,77,25,25070,41,95880,38,435,36,330,34,2672.36,41,0,27,0,27,582,40
"league_id",77,100,11,3,88297,"III.6",1903866,"Mágico FC SV",673157586,170,68,55,59,13,76,76,60,39040,76,205520,67,485,70,415,62,3210.923076923077,22,3,1,1,6,672,66
